Architectural Dimension,Traditional Rule-Based Booking,Conventional ERP (SAP/Odoo),Monolithic Chatbot,LLM + Text-to-SQL,Proposed Agentic Sports ERP
Natural Language Interaction,None (Static Forms),None (GUI / Forms),Rule-based Regex,Free-form Prompting,Multi-Turn Conversational NLP
Multi-Turn Context & TTL,Not Applicable,Not Applicable,Volatile / Fragile,Token Accumulation,State-Isolated Session Memory (10m TTL)
Autonomous Execution,Manual Entry Only,Batch / Transactional,Shallow Form-filling,Direct SQL Execution,Orchestrated Multi-Agent Swarm
Constraint Enforcement,Database Triggers,Rigid Workflow Rules,None / Post-hoc,Partial (SQL WHERE),Hybrid Neuro-Symbolic Engine (C1-C8)
Conflict Explanation,Opaque Error Code,Generic Failure Text,Generic Text,SQL Error Message,Symbolic MUS/MCS Contrastive Explanations
Alternative Slot Suggestion,None,Manual Search,Static List,None,Proximity-Ranked Slot Recommendation
Role-Based Access Control,Basic UI Restrictions,Mature Matrix RBAC,Session Token Only,Bypassed / Vulnerable,Zero-Trust RBAC + Student Privacy Isolation
Protected Write Gates,Manual Checkbox,Approval Workflows,None,None,Two-Step Epistemic Risk Confirmation
Auditability & Provenance,Plain Relational Log,Database Change Logs,Unstructured Text Log,Query History Table,Merkle-Linked SHA-256 HMAC Provenance Chain
Concurrency & Idempotency,Database Locks,Optimistic Locking,Prone to Race Hazards,Prone to Injections,Partial Unique Index + Idempotency Keys
Task Completion Rate (TCR),60.0% (Rigid),75.0% (Manual),90.0% (Fragile),63.3% (Unstable),100.0% (Empirically Verified)
Constraint Violation Rate,12.0%,5.0%,6.7%,0.0% (Read-only),0.0% (Zero Invariant Violations)
